Distancia	RSSI	Desviacion
0		-36.40	4.69
1		-49.29	3.75
2		-65.43	4.33
3		-63.61	1.80
4		-65.20	1.82
5		-73.51	3.67
6		-73.90	4.49
7		-73.68	2.57
8		-76.38	3.35
9		-79.48	2.46
10		-79.11	2.63
11		-79.78	4.48
12		-76.96	1.71
13		-76.86	2.09
14		-79.93	2.10
15		-78.61	1.50
16		-76.71	1.77
17		-79.97	1.61
18		-83.15	1.97
19		-83.31	1.23
20		-83.00	1.63
21		-84.39	2.04
22		-80.05	1.86
23		-82.71	2.17
24		-81.96	2.22
25		-80.88	1.65
26		-81.41	3.11
27		-84.68	1.99
28		-87.88	2.15

